column,dtype,non_null_n,non_null_fraction,description,example_value
FIXED_FLUX_UNABS_0_ERR,object,5865,1.0,,[-5.005038e-13  5.242785e-13]
FIXED_FLUX_ABS_0,float64,1273,0.21705,,5.935229272296744e-12
FIXED_FLUX_ABS_0_ERR,object,5865,1.0,,[-4.3051822e-13  4.5353435e-13]
FIXED_C_VARIANCE,float64,1273,0.21705,,11.132952764873762
FIXED_CASH,float64,1273,0.21705,,73.45168145978714
FIXED_CSTAT_THEORY,float64,1273,0.21705,,72.82570394882477
FIXED_REDCASH,float64,1273,0.21705,,1.0345307247857345
FIXED_CASHBINS,int64,5865,1.0,,73
FIXED_CASHPAR,int64,5865,1.0,,2
FIXED_NUM_BINS,int64,5865,1.0,,73
RXS_RA,float64,1496,0.255072,,0.3980134988758118
RXS_DEC,float64,1496,0.255072,,-41.92196023111872
RXS_NH_GAL,float64,1412,0.24075,,0.1879999935626983
RXS_NH,float64,1416,0.241432,,0.4620000123977661
RXS_GAMMA,float64,1416,0.241432,,-1.2970000505447388
RXS_GAMMA_ERR,float64,1416,0.241432,,3.0480000972747803
RXS_FLUX_U,float64,1416,0.241432,,1.8819999812041965e-12
XRT_SRC_NAME,object,1249,0.212958,,b'2SXPS J000132.6-415523'
XRT_RA,float64,1249,0.212958,,0.3862399999999999
XRT_DEC,float64,1249,0.212958,,-41.92307999999999
XRT_ANGSEP,float64,1249,0.212958,,2.341111172427252
XRT_FLAG,float64,1249,0.212958,,1.0
XRT_NH,float64,1249,0.212958,,2.461e+20
XRT_NH_ERR,object,5865,1.0,,[2.4610e+20 4.2187e+20]
XRT_GAMMA,float64,785,0.133845,,2.325000047683716
XRT_GAMMA_ERR,object,5865,1.0,,[0.22521 0.25524]
XRT_ABS_FLUX_V,float64,1247,0.212617,,2.24799996326186e-12
XRT_ABS_FLUX_V_ERR,object,5865,1.0,,[1.2788e-13 1.2788e-13]
XRT_UNABS_FLUX_V,float64,1249,0.212958,,2.48e-12
XRT_UNABS_FLUX_V_ERR,object,5865,1.0,,[1.412e-13 1.412e-13]
OUSXB_RA,float64,1039,0.177153,,0.38696
OUSXB_DEC,float64,1039,0.177153,,-41.92315
OUSXB_MIN_FLUX_V,float64,1039,0.177153,,2.0059999668e-12
OUSXB_MAX_FLUX_V,float64,1039,0.177153,,2.0059999668e-12
OUSXB_MEAN_FLUX_V,float64,1039,0.177153,,2.0059999668e-12
OUSXB_MEDIAN_FLUX_V,float64,1039,0.177153,,2.0059999668e-12
OUSXB_N_FLUX_V,float64,5865,1.0,,1.0
OUSXB_MIN_GAMMA,float64,729,0.124297,,1.4700000286
OUSXB_MAX_GAMMA,float64,729,0.124297,,1.4700000286
OUSXB_MEAN_GAMMA,float64,729,0.124297,,1.4700000286
OUSXB_MEDIAN_GAMMA,float64,729,0.124297,,1.4700000286
OUSXB_N_GAMMA,float64,5865,1.0,,1.0
NUSTAR_RA,float64,46,0.007843,,272.4911
NUSTAR_DEC,float64,46,0.007843,,-45.8781
NUSTAR_GAMMA,float64,46,0.007843,,1.75
NUSTAR_GAMMA_ERR,float64,46,0.007843,,0.1
NUSTAR_FLUX_X,float64,46,0.007843,,1.72e-12
NUSTAR_FLUX_X_ERR,float64,46,0.007843,,3e-14
NUSTAR_FLUX_Y,float64,46,0.007843,,2.09e-12
NUSTAR_FLUX_Y_ERR,float64,46,0.007843,,6e-14
BAT_SRC_NAME,object,5865,1.0,,b'nan'
BAT_RA,float64,96,0.016368,,92.2046
BAT_DEC,float64,96,0.016368,,-54.9451
BAT_TYPE,object,5865,1.0,,b'nan'
BAT_FLUX_Z,float64,96,0.016368,,7.58e-12
BAT_MIN_FLUX_Z,float64,96,0.016368,,4.43e-12
BAT_MAX_FLUX_Z,float64,96,0.016368,,1.123e-11
BAT_GAMMA,float64,96,0.016368,,1.41
BAT_MIN_GAMMA,float64,96,0.016368,,0.72
BAT_MAX_GAMMA,float64,96,0.016368,,2.1
ASCAMASTER_EXPOTIME,float64,5865,1.0,,0.0
CHANMASTER_EXPOTIME,float64,5865,1.0,,0.0
NUMASTER_EXPOTIME,float64,5865,1.0,,0.0
SUZAMASTER_EXPOTIME,float64,5865,1.0,,0.0
XMMMASTER_EXPOTIME,float64,5865,1.0,,0.0
SWIFTMASTR_EXPOTIME,float64,5865,1.0,,6261.986
ROSMASTER_EXPOTIME,float64,5865,1.0,,0.0
